ID G Sire Dam Sex Phe Tbv
601 1 27 450 M -0.378874325529809 -0.322451821660245
602 1 27 450 F 0.537554667907665 -1.03486386149278
603 1 27 450 M 1.87202482194102 0.868207084762083
604 1 27 450 F -2.41237020100124 -1.04451257766466
605 1 27 450 M 3.20884024591512 0.560424519731894
606 1 27 450 F -2.8160559253388 0.00536519306531358
607 1 27 450 M -0.527503767970916 0.0978945069090352
608 1 27 450 F 1.33129031811685 0.685598765498074
609 1 27 450 M 0.956010092761646 1.72195216327604
610 1 27 450 F -2.18328229557771 -0.658213416673788
611 1 27 450 M 1.47185567726847 0.607543810394684
612 1 27 450 F 0.385915116169644 0.924390929053494
613 1 27 450 M 1.26979664068084 1.08255157598921
614 1 27 450 F 0.514919452537363 -0.253533549080405
615 1 27 450 M -1.08071211392613 0.424785244562064
616 1 27 450 F -0.320742376881836 -0.621356608421102
617 1 27 450 M 0.928339400883392 0.207223950717882
618 1 27 450 F -0.520585612494479 0.0622072207878892
619 1 27 450 M 0.266671896009011 -0.369524032558821
620 1 27 450 F 0.623779189791555 0.284905877193154
621 1 435 46 M -2.29895627694272 0.0194185008180985
622 1 435 46 F 0.0649142692074058 -0.101363093039192
623 1 435 46 M -0.983440666656706 1.4246014758603
624 1 435 46 F -4.34437098541218 -1.90989980103545
625 1 435 46 M 0.28091091151325 -0.72878878280497
626 1 435 46 F 3.98969311878547 0.507465336681123
627 1 435 46 M -0.427713410316317 1.14918052272634
628 1 435 46 F -1.55068742706291 -0.668107475705803
629 1 435 46 M -0.967830157415005 -0.909001809819083
630 1 435 46 F -0.562894745324307 -0.719235647483625
631 1 435 46 M -0.446474597379947 0.234909045845473
632 1 435 46 F 1.05344858944023 0.827259331331309
633 1 435 46 M 2.24042460236255 1.77878345433652
634 1 435 46 F -1.71330732001357 -1.13024882619371
635 1 435 46 M 0.326433651775948 1.31515052371876
636 1 435 46 F -0.00567624571666159 0.735433037189124
637 1 435 46 M 1.85983573385381 -0.879063751979063
638 1 435 46 F 0.360074769630141 -0.776293644042865
639 1 435 46 M -1.31148608383673 -1.28513366646515
640 1 435 46 F -0.866903554117705 -0.919252648042595
641 1 37 240 M 1.26382044276689 0.751041919368243
642 1 37 240 F 1.84904344294563 1.56496950430415
643 1 37 240 M 0.507734179828597 1.82040768650533
644 1 37 240 F 3.01014078261549 1.95768543537389
645 1 37 240 M 0.12027244968622 0.585221843873982
646 1 37 240 F 3.96939849039343 2.44570026996202
647 1 37 240 M -0.270704187276982 -0.0890711653078254
648 1 37 240 F 1.60752574178627 1.47510040461021
649 1 37 240 M 4.24875949821172 1.60200034084569
650 1 37 240 F 1.82955976235461 1.28718589845498
651 1 37 240 M 3.05617668859921 1.79113492695374
652 1 37 240 F 1.51748305011601 2.40755768093445
653 1 37 240 M 0.434293440477794 1.36431777091723
654 1 37 240 F 2.43874644356084 1.88889626805323
655 1 37 240 M -0.37906265792912 1.62500543722099
656 1 37 240 F 2.84183276542598 1.33298449968964
657 1 37 240 M 0.503116462502363 0.297595969943911
658 1 37 240 F -0.755717864517532 0.497669698567122
659 1 37 240 M 3.17339256633427 1.3001492324946
660 1 37 240 F 4.49313975640107 2.63892337935618
661 1 325 254 M -0.453605053798626 0.249037308534334
662 1 325 254 F 2.41482923965027 0.136460155175281
663 1 325 254 M -2.83247979871683 -1.83635933776872
664 1 325 254 F -1.78973855389126 -1.34638993147822
665 1 325 254 M -1.46647238974111 -1.94011795402756
666 1 325 254 F -1.69966690465156 -2.49942633524022
667 1 325 254 M -0.350558758608122 1.19374819438607
668 1 325 254 F -2.24260313595244 -2.03762517305167
669 1 325 254 M -3.99595914246122 -3.7448249289373
670 1 325 254 F 1.33935328553679 -0.26043787869541
671 1 325 254 M 1.0536086089189 0.381865165582555
672 1 325 254 F -0.395141680193049 -1.39691185711856
